source,relation,target
telegraph,enabled by,internet
indoor climate control,enables,home convenience
communication,facilitates,telecommunications
computers,enhances,production efficiency
safety improvements,influences,medical technology
advancements,powered by,electric cars
electricity,utilized by,electric appliances
electricity,powered by,telephone
crime reduction,utilizes,greenhouse gas emissions
modernization,contributes to,production efficiency
impact,shaped by,economy
transportation,enabled by,telegraph
telephone,revolutionized by,technology
labor efficiency,improves,production efficiency
electrical engineering,influenced by,society
internet,powers,time savings
electronic devices,enables,labor efficiency
factories,supports,transportation
safety improvements,facilitates,energy efficiency
electric appliances,powers,healthcare breakthroughs
industrialization,driven by,telegraph
internet,enhanced by,electronic devices
time savings,depends on,telecommunications
electric cars,improved by,standard of living
job creation,supports,safety improvements
home convenience,provides,production efficiency
electric cars,leads to,time savings
electric cars,powered by,transportation
electric appliances,utilized by,computers
internet,enhances,indoor climate control
factories,drives,industrialization
environmental safety,enables,health benefits
telecommunications,enhanced by,production efficiency
health benefits,utilizes,advancements
modernization,promotes,electric appliances
crime reduction,provides,environmental safety
electric appliances,improved by,public health
technology,driven by,electronic devices
quality of life,enhances,health benefits
crime reduction,enables,mass production
technology,improves,labor efficiency
transportation,influences,environmental safety
electricity,powered by,computers
technology,supports,factories
modernization,drives,computers
indoor climate control,stimulates,mass production
quality of life,enhances,transportation
innovations,affects,indoor climate control
standard of living,enhanced by,electronic devices
crime reduction,advances,standard of living
technology,facilitates,electric cars
modernization,improves,electricity
electric appliances,advances,time savings
communication,supports,connectivity
telegraph,influenced by,computers
indoor climate control,enhances,standard of living
medical technology,utilized in,factories
safety improvements,results in,quality of life
modernization,enables,telegraph
medical technology,powered by,electric cars
labor efficiency,promotes,telephone
electricity,shaped by,impact
global trade,driven by,industrialization
technology,fueled by,innovations
economy,improves,connectivity
telecommunications,enhanced by,safety improvements
global trade,facilitated by,communication
internet,enabled by,communication
internet,enhanced by,transportation
advancements,driven by,medical technology
safety improvements,contributed to,healthcare breakthroughs
quality of life,enhanced by,medical technology
telegraph,influenced by,impact
home convenience,facilitated by,telephone
electronic devices,regulates,indoor climate control
telecommunications,supports,transportation
job creation,driven by,production efficiency
economy,facilitates,communication
internet,stimulated by,industrialization
economy,enables,global trade
economic growth,increases,labor efficiency
safety improvements,improved by,technology
economic growth,supported by,factories
environmental safety,enhanced by,energy efficiency
economic growth,driven by,global trade
computers,leads to,advancements
energy efficiency,improved by,advancements
manufacturing,enhanced by,telephone
telephone,facilitates,transportation
telecommunications,drives,industrialization
quality of life,improves,energy efficiency
transportation,promotes,sustainable energy
safety improvements,results in,time savings
urban development,enhanced by,telephone
modernization,drives,advancements
job creation,fosters,urban development
factories,enabled by,production efficiency
revolution,supports,sustainable energy
telegraph,facilitates,telecommunications
telephone,drives,industrialization
electric appliances,enables,mass production
