id,label
Brachiosaurus,Brachiosaurus
Earth's history,Earth's history
Mesozoic era,Mesozoic era
Tyrannosaurus rex,Tyrannosaurus rex
adaptations,adaptations
allure,allure
ancient Earth,ancient Earth
ancient past,ancient past
ancient world,ancient world
appeal,appeal
asteroid impact,asteroid impact
behavior,behavior
blockbuster movies,blockbuster movies
carnivorous dinosaurs,carnivorous dinosaurs
catastrophic end,catastrophic end
ceratopsians,ceratopsians
climate change,climate change
creativity,creativity
creatures,creatures
curiosity,curiosity
debate,debate
diet,diet
dinosaurs,dinosaurs
diversity,diversity
ecosystem,ecosystem
environmental change,environmental change
environmental stewardship,environmental stewardship
events,events
evolutionary traits,evolutionary traits
exploration,exploration
extinction,extinction
extinction theories,extinction theories
fascination,fascination
forests,forests
fragility of life,fragility of life
habitat,habitat
history,history
humbling,humbling
imagination,imagination
impact,impact
insights,insights
interconnectedness,interconnectedness
intricate frills,intricate frills
intriguing,intriguing
landscapes,landscapes
lessons,lessons
living things,living things
mystery,mystery
natural world,natural world
ocean,ocean
paleontology,paleontology
physical features,physical features
popular culture,popular culture
power,power
prehistoric giants,prehistoric giants
presence,presence
processes,processes
questions,questions
razor-sharp teeth,razor-sharp teeth
resilience,resilience
scientific discovery,scientific discovery
scientific inquiry,scientific inquiry
significance,significance
size,size
speculation,speculation
study,study
survival,survival
symbols of strength,symbols of strength
understanding,understanding
unique characteristics,unique characteristics
volcanoes,volcanoes
wonder,wonder
